Qualifying Name,Name of Area,FIPS,Nation,State,County,Physically Unhealthy Days per Month (Persons 18 Years and Over),Mentally Unhealthy Days per Month (Persons 18 Years and Over),Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over),Primary Care Physicians (PCP),Mental Health Providers (MHP),Dentists,"Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population",Health Care Costs Price-adjusted Medicare Reimbursements,"Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population 18 to 64 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)",Infant Mortality (Death Counts),Child Mortality (Death Counts),Premature Age-adjusted Mortality (Death Counts),Drug Poisoning Mortality (Death Counts),"Infant Mortality Rate per 1,000 Live Births","Child Mortality Rate per 1,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population",Percent Current Smokers (Persons 18 Years and Over),Percent Drinking Adults (Persons 18 Years and Over),Food Environment Index
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T005_001,SE_T006_001,SE_T006_002,SE_T006_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T011_001,SE_T011_002,SE_T013_001
"Autauga County, Alabama ",Autauga County,1001,,1,1,4.4,4.3,19.4,22,8,18,39.82189,14.44174,32.49391,10165.85,3.859072,17.481181,13.42053547,563,5852,6351,33,29,809,13,7.054297,50.48834,456.4,7.82402,18.7,15.1,7.1
"Apache County, Arizona",Apache County,4001,,4,1,5.7,5.3,29.5,21,74,49,29.19343,103.02389,68.21852,8073,14.622248,28.29382,23.58182452,3327,11779,14874,60,66,1099,13,6.976744,73.82881,535,5.991971,25.6,14.6,0.5
"Arkansas County, Arkansas",Arkansas County,5001,,5,1,4.6,4.2,21.1,10,15,7,53.25664,80.67118,37.64655,8549.44,6.258412,22.561576,17.97585043,279,2519,2769,,16,322,,,91.12136,490.6,,22.4,13.9,6
"Alameda County, California",Alameda County,6001,,6,1,3.4,3.3,13,1675,7937,1433,106.08712,492.69952,88.95532,8560.43,5.950529,17.391618,14.41522675,21348,178422,197119,619,521,12315,473,4.367028,38.0772,256.3,9.969371,10.6,16.3,7.6
"Adams County, Colorado",Adams County,8001,,8,1,3.5,3.3,15.8,223,1297,266,47.52842,269.80475,55.3339,9336.09,10.6523,25.646917,20.91620515,14374,75008,88148,294,220,4159,274,6.032502,42.69871,337.8,19.439393,18.1,18.5,8.1
"Fairfield County, Connecticut ",Fairfield County,9001,,9,1,2.8,3.2,11.8,847,2443,853,90.11559,258.39875,90.22273,9006.98,5.980098,16.267712,13.31661342,13960,92568,105291,364,317,6679,299,4.762652,35.14186,223.5,10.605932,14.2,18.3,8.4
"Kent County, Delaware",Kent County,10001,,10,1,3.6,3.8,15.7,103,274,68,60.79709,159.31437,39.53787,9294.58,4.691021,12.683613,10.35581367,1957,12719,14497,102,84,2072,105,6.52299,51.98663,379,20.627508,18.2,15.3,7.7
"District of Columbia County, District of Columbia ",District of Columbia County,11001,,11,1,2.8,3.2,12.7,749,2923,771,115.86374,443.62286,117.01445,7970.79,3.059202,8.784689,7.578031462,3519,37844,40951,624,383,7213,275,9.839788,89.67392,394.6,14.19234,15.8,24.9,8
"Alachua County, Florida ",Alachua County,12001,,12,1,4,3.9,16.4,379,1283,405,149.53581,500.42905,157.96864,9446.64,9.693417,21.93574,19.09718273,4613,36430,40292,164,134,2345,65,8.079614,75.3283,329.8,8.53861,18.2,20.3,6.1
"Appling County, Georgia ",Appling County,13001,,13,1,4.3,4.1,19.9,9,7,2,48.80694,37.7562,10.78749,9878.49,12.285834,29.226895,24.05121171,588,3134,3682,,15,319,,,80.51098,514.8,,17.9,14.2,6.6
