GEO_ID,NAME,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Under $25,000","Margin of Error!!Total!!Under $25,000","Estimate!!Total!!Under $25,000!!With health insurance coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Estimate!!Total!!Under $25,000!!No health insurance coverage","Margin of Error!!Total!!Under $25,000!!No health insurance coverage","Estimate!!Total!!$25,000 to $49,999","Margin of Error!!Total!!$25,000 to $49,999","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$25,000 to $49,999!!No health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!No health insurance coverage","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$50,000 to $74,999!!No health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!No health insurance coverage","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$75,000 to $99,999!!No health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!No health insurance coverage","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!With health insurance coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Estimate!!Total!!$100,000 or more!!No health insurance coverage","Margin of Error!!Total!!$100,000 or more!!No health insurance coverage"
0500000US12103,"Pinellas County, Florida",943166,2258,167275,9490,142293,8512,57141,4824,114896,7740,24982,3883,217941,12056,189565,10342,115437,7690,109276,7317,28376,3690,182455,11577,158412,9888,120022,7876,67600,5056,24043,4609,122748,9426,113652,8764,97265,7860,34576,3753,9096,2060,252747,12612,238560,11310,212973,10142,54250,4996,14187,4014
0500000US12105,"Polk County, Florida",652675,1329,125903,8311,106816,7195,37254,4185,85931,6850,19087,3336,174327,10604,144075,8682,79171,5462,90709,7358,30252,4621,132624,11107,115428,9981,87715,7785,46560,5279,17196,3433,96911,10079,89866,9070,74189,7484,27382,4637,7045,2144,122910,10122,112953,8900,102364,8147,22752,3333,9957,4489
0500000US12107,"Putnam County, Florida",70886,636,17398,2955,14518,2630,4036,1014,12558,2505,2880,1097,26056,3804,21288,3045,10124,1934,15662,2991,4768,1968,11222,2665,10073,2435,8435,2156,4139,1280,1149,950,8731,2735,8200,2656,6332,2165,3150,1232,531,546,7479,2768,7050,2595,6332,2446,2498,1167,429,514
0500000US12109,"St. Johns County, Florida",231890,1005,20171,3917,16372,3078,9166,2082,11975,2656,3799,1797,34128,5083,30065,4280,19773,3169,18370,3623,4063,1950,37216,6510,35311,6461,26702,5398,14322,3194,1905,912,38014,7469,36113,6956,32145,6165,9773,2499,1901,928,102361,8176,98323,7990,92038,7539,15781,2705,4038,2208
0500000US12111,"St. Lucie County, Florida",303563,1015,59624,7431,46233,5635,19346,4040,36809,5045,13391,3294,87180,9612,72501,8185,40065,6711,45123,5984,14679,4156,64534,10015,55150,9187,42438,8220,24342,4959,9384,2647,48938,8536,42746,7096,36434,6721,12788,3133,6192,3301,43287,7602,40459,7154,36820,6929,9956,2318,2828,1626
0500000US12113,"Santa Rosa County, Florida",159741,2123,19432,3845,17481,3525,6390,2011,13708,2965,1951,858,31876,5613,27337,4914,17883,3324,15022,3051,4539,1742,30336,5199,28310,5239,25648,5147,8079,2181,2026,1065,28095,5064,26500,4698,22450,4162,9299,2600,1595,1116,50002,5893,47745,5739,44839,5576,8655,1952,2257,1399
0500000US12115,"Sarasota County, Florida",406814,1171,53301,5703,46867,5152,25647,3372,35470,4342,6434,1457,93999,7662,79238,5966,50513,4871,54964,4677,14761,3790,79263,7856,69558,6702,53420,5826,35635,4213,9705,2938,57490,6732,50866,5655,41611,5517,21584,3445,6624,2884,122761,9086,115863,9078,101008,8528,41315,3989,6898,2294
0500000US12117,"Seminole County, Florida",451430,1136,61836,7254,49733,6211,23984,3973,31832,5088,12103,3019,87608,8665,74288,7026,53929,6230,31199,3815,13320,4053,83382,8934,70934,7391,57367,6164,23598,3969,12448,3504,67846,8313,63898,7756,57426,7189,12372,2051,3948,1440,150758,10270,142875,9954,134482,9455,21696,3359,7883,2318
0500000US12119,"Sumter County, Florida",114621,1353,20509,3532,18131,3413,9441,2389,14721,2834,2378,1055,27671,4475,26320,4320,15782,3160,21523,4019,1351,871,31310,5535,29210,4728,20542,3955,21881,3869,2100,1952,16500,3467,16060,3396,12499,2656,11847,2973,440,530,18631,3854,18441,3837,14823,3426,11275,2583,190,195
